,peasantProfile,peasantEmotionalState,currentSeason,currentCropCare,robberyAccount,ptwDate,currentMoneyOrigin,currentPeasantActivityType,currentPeasantLeisureType,currentResourceNeededType,currentDay,timeLeftOnDay,newDay,weekBlock,busy,askedForLoanToday,robbedToday,internalCurrentDate,peasantKind,rainfallConditions,peasantFamilyMinimalVital,health,productivity,wellBeging,worker,peasantQualityFactor,liveStockAffinity,farm,cropSize,housing,servicesPresence,housingSize,housingCondition,housingLocation,farmDistance,money,totalIncome,loanAmountToPay,housingQuailty,timeSpentOnMaintenance,cropHealth,farmReady,harvestedWeightExpected,processedCrop,cropEficiency,processedWeight,processingTime,trainingLevel,trainingAvailability,trainingRelevance,trainingCost,irrigation,irrigationTime,pestControl,diseasedCrop,weedControl,infestedCrop,suppliesAvailability,toolsAvailability,associated,neighbors,collaborationValue,totalHarvestedWeight,healthProgramsAvailability,livestockFarming,livestockHealth,livestockNumber,familyTime,peasantFamilyAffinity,familyTimeAvailability,communications,socialCompatibility,restingTimeAvailibility,peasantRestAffinity,leisureOptions,sellDone,waterAvailable,pesticidesAvailable,tools,supplies,riceSeedsByHectare,seeds,harvestedWeight,startRiceSeason,endRiceSeason,currentCropName,purpose,label
0,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,1,0.0,false,false,false,false,false,2022-01-01,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,false,12179,1.0,1.0,1.0,1.0,1.0,1.0,6071999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,,PeasantFamily_5_ThrivingPeasant
18,PeasantFamily_5,[],NONE,NONE,0,null,NONE,PRICE_LIST,LEISURE,null,2,0.0,false,false,false,false,false,2022-01-02,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,6053999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
29,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,3,0.0,false,false,false,false,false,2022-01-03,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,6035999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
38,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,4,0.0,false,false,false,false,false,2022-01-04,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,6017999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
48,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,5,0.0,false,false,false,false,false,2022-01-05,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5999999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
59,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,6,0.0,false,false,false,false,false,2022-01-06,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5981999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
68,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,7,0.0,false,true,false,false,false,2022-01-07,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5963999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
79,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,8,0.0,false,false,false,false,false,2022-01-08,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5945999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
88,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,9,0.0,false,false,false,false,false,2022-01-09,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5927999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
99,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,10,0.0,false,false,false,false,false,2022-01-10,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5909999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
