,peasantProfile,peasantEmotionalState,currentSeason,currentCropCare,robberyAccount,ptwDate,currentMoneyOrigin,currentPeasantActivityType,currentPeasantLeisureType,currentResourceNeededType,currentDay,timeLeftOnDay,newDay,weekBlock,busy,askedForLoanToday,robbedToday,internalCurrentDate,peasantKind,rainfallConditions,peasantFamilyMinimalVital,health,productivity,wellBeging,worker,peasantQualityFactor,liveStockAffinity,farm,cropSize,housing,servicesPresence,housingSize,housingCondition,housingLocation,farmDistance,money,totalIncome,loanAmountToPay,housingQuailty,timeSpentOnMaintenance,cropHealth,farmReady,harvestedWeightExpected,processedCrop,cropEficiency,processedWeight,processingTime,trainingLevel,trainingAvailability,trainingRelevance,trainingCost,irrigation,irrigationTime,pestControl,diseasedCrop,weedControl,infestedCrop,suppliesAvailability,toolsAvailability,associated,neighbors,collaborationValue,totalHarvestedWeight,healthProgramsAvailability,livestockFarming,livestockHealth,livestockNumber,familyTime,peasantFamilyAffinity,familyTimeAvailability,communications,socialCompatibility,restingTimeAvailibility,peasantRestAffinity,leisureOptions,sellDone,waterAvailable,pesticidesAvailable,tools,supplies,riceSeedsByHectare,seeds,harvestedWeight,startRiceSeason,endRiceSeason,currentCropName,purpose
5,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,1,0.0,false,false,false,false,false,01/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,false,12680,1.0,1.0,1.0,1.0,1.0,1.0,6322138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,
13,PeasantFamily_8,[],NONE,NONE,0,null,NONE,PRICE_LIST,LEISURE,null,2,0.0,false,false,false,false,false,02/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6304138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
21,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,3,0.0,false,false,false,false,false,03/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6286138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
30,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,4,0.0,false,false,false,false,false,04/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6268138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
40,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,5,0.0,false,false,false,false,false,05/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6250138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
50,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,6,0.0,false,false,false,false,false,06/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6232138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
60,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,7,0.0,false,true,false,false,false,07/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6214138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
73,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,8,0.0,false,false,false,false,false,08/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6196138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
82,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,9,0.0,false,false,false,false,false,09/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6178138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
92,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,10,0.0,false,false,false,false,false,10/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6160138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
102,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,11,0.0,false,false,false,false,false,11/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6142138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
