,peasantProfile,peasantEmotionalState,currentSeason,currentCropCare,robberyAccount,ptwDate,currentMoneyOrigin,currentPeasantActivityType,currentPeasantLeisureType,currentResourceNeededType,currentDay,timeLeftOnDay,newDay,weekBlock,busy,askedForLoanToday,robbedToday,checkedToday,internalCurrentDate,peasantKind,rainfallConditions,peasantFamilyMinimalVital,health,productivity,wellBeging,worker,peasantQualityFactor,liveStockAffinity,farm,cropSize,housing,servicesPresence,housingSize,housingCondition,housingLocation,farmDistance,money,totalIncome,loanAmountToPay,housingQuailty,timeSpentOnMaintenance,cropHealth,farmReady,harvestedWeightExpected,processedCrop,cropEficiency,processedWeight,processingTime,trainingLevel,trainingAvailability,trainingRelevance,trainingCost,irrigation,irrigationTime,pestControl,diseasedCrop,weedControl,infestedCrop,suppliesAvailability,toolsAvailability,associated,neighbors,collaborationValue,totalHarvestedWeight,healthProgramsAvailability,livestockFarming,livestockHealth,livestockNumber,familyTime,peasantFamilyAffinity,familyTimeAvailability,communications,socialCompatibility,restingTimeAvailibility,peasantRestAffinity,leisureOptions,sellDone,waterAvailable,pesticidesAvailable,tools,supplies,riceSeedsByHectare,seeds,harvestedWeight,startRiceSeason,endRiceSeason,currentCropName,purpose
6,PeasantFamily_6,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,1,0.0,false,false,false,false,false,false,01/01/2022,HighriskPeasant,dry,5000.0,57,0.0,1.0,true,0.7,0.7,false,1843,1.0,1.0,1.0,1.0,1.0,1.0,1009054.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,0,0,10,1,20,460,0,01/05/2022,null,ñame,
10,PeasantFamily_6,[],NONE,NONE,0,null,NONE,PRICE_LIST,LEISURE,null,2,0.0,false,false,false,false,false,false,02/01/2022,HighriskPeasant,dry,5000.0,59,0.0,1.0,true,0.7,0.7,true,1843,1.0,1.0,1.0,1.0,1.0,1.0,1004054.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,0,0,10,1,20,460,0,01/05/2022,null,ñame,farmer
24,PeasantFamily_6,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,3,0.0,false,false,false,false,false,true,03/01/2022,HighriskPeasant,dry,5000.0,61,0.0,1.0,true,0.7,0.7,true,1843,1.0,1.0,1.0,1.0,1.0,1.0,998754.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,460,0,01/05/2022,null,ñame,farmer
39,PeasantFamily_6,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,4,0.0,false,false,false,false,false,true,04/01/2022,HighriskPeasant,dry,5000.0,63,0.0,1.0,true,0.7,0.7,true,1843,1.0,1.0,1.0,1.0,1.0,1.0,993754.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,460,0,01/05/2022,null,ñame,farmer
46,PeasantFamily_6,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,5,0.0,false,false,false,false,false,true,05/01/2022,HighriskPeasant,dry,5000.0,65,0.0,1.0,true,0.7,0.7,true,1843,1.0,1.0,1.0,1.0,1.0,1.0,988754.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,460,0,01/05/2022,null,ñame,farmer
56,PeasantFamily_6,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,6,0.0,false,false,false,false,false,true,06/01/2022,HighriskPeasant,dry,5000.0,67,0.0,1.0,true,0.7,0.7,true,1843,1.0,1.0,1.0,1.0,1.0,1.0,983754.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,460,0,01/05/2022,null,ñame,farmer
65,PeasantFamily_6,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,7,0.0,false,true,false,false,false,true,07/01/2022,HighriskPeasant,dry,5000.0,69,0.0,1.0,true,0.7,0.7,true,1843,1.0,1.0,1.0,1.0,1.0,1.0,978754.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,460,0,01/05/2022,null,ñame,farmer
73,PeasantFamily_6,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,8,0.0,false,false,false,false,false,true,08/01/2022,HighriskPeasant,dry,5000.0,71,0.0,1.0,true,0.7,0.7,true,1843,1.0,1.0,1.0,1.0,1.0,1.0,973754.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,460,0,01/05/2022,null,ñame,farmer
82,PeasantFamily_6,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,9,0.0,false,false,false,false,false,true,09/01/2022,HighriskPeasant,dry,5000.0,73,0.0,1.0,true,0.7,0.7,true,1843,1.0,1.0,1.0,1.0,1.0,1.0,968754.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,460,0,01/05/2022,null,ñame,farmer
95,PeasantFamily_6,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,10,0.0,false,false,false,false,false,true,10/01/2022,HighriskPeasant,dry,5000.0,75,0.0,1.0,true,0.7,0.7,true,1843,1.0,1.0,1.0,1.0,1.0,1.0,963754.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,460,0,01/05/2022,null,ñame,farmer
